//
///////////////////////////////////////////EXTRASUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight 
               4 5 6        174 176 179        255 255 255           31 40 46           16 23 26              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           19 21 23       23 23 23 245       0 92 104 106      0 130 130 130                170                 20                  0               0.75
// 5AM                                                                                                                                                                                                         
               4 5 6        179 179 179        255 255 255           31 39 44           16 22 25              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           19 21 23       23 23 23 245       0 92 105 106      0 130 130 130                170                 20                  0               0.75
// 6AM                                                                                                                                                                                                         
               6 8 9        164 173 180        255 255 255         82 101 111           51 67 75              0 0 0              0 0 0               3.35               0.25               0.55                  0                100                100            1001.00              10.00               0.55              0 0 0           54 61 64       37 45 47 250        0 89 96 100      0 130 130 130                170                180                  0               1.25
// 7AM                                                                                                                                                                                                         
               0 0 0        167 167 167        255 255 255        167 180 187        132 146 154              0 0 0              0 0 0               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        122 127 129    107 120 122 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 8AM                                                                                                                                                                                                         
               1 1 1        167 167 167        255 255 255        168 181 188        134 148 155              0 0 0              0 0 0               2.85               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        124 128 130    109 121 122 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 9AM                                                                                                                                                                                                         
               2 2 2        167 167 167        255 255 255        170 183 189        137 150 156              0 0 0              0 0 0               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        126 129 131    112 123 122 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 10AM                                                                                                                                                                                                        
               3 3 3        167 167 167        255 255 255        172 185 190        139 152 157              0 0 0              0 0 0               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        128 131 133    114 125 122 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 11AM                                                                                                                                                                                                        
               4 4 4        167 167 167        255 255 255        174 187 191        142 154 158              0 0 0              0 0 0               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        130 132 134    117 127 122 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// Midday                                                                                                                                                                                                      
               5 5 5        167 167 167        255 255 255        176 189 192        145 157 160              0 0 0              0 0 0               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        132 134 136    120 129 122 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 1PM                                                                                                                                                                                                         
               4 4 4        166 166 166        255 255 255        173 187 191        143 155 159              0 0 0              0 0 0               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        130 132 134    118 127 120 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 2PM                                                                                                                                                                                                         
               4 4 4        166 166 166        255 255 255        171 186 190        141 153 158              0 0 0              0 0 0               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        128 131 133    116 125 118 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 3PM                                                                                                                                                                                                         
               3 3 3        166 166 166        255 255 255        169 185 190        139 151 157              0 0 0              0 0 0               2.85               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        127 129 132    114 123 116 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 4PM                                                                                                                                                                                                         
               3 3 3        166 166 166        255 255 255        166 184 189        137 149 156              0 0 0              0 0 0               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        125 128 131    112 121 114 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 5PM                                                                                                                                                                                                         
               2 2 2        166 166 166        255 255 255        164 183 189        135 147 155              0 0 0              0 0 0               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        124 126 130    110 119 112 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 6PM                                                                                                                                                                                                         
               2 2 2        166 166 166        255 255 255        162 182 188        133 145 154              0 0 0              0 0 0               3.35               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        122 125 129    108 117 110 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 7PM                                                                                                                                                                                                         
               2 2 2        166 166 166        255 255 255        160 181 188        131 143 153              0 0 0              0 0 0               3.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        121 124 128    106 116 108 245      0 129 129 129            0 0 0 0                180                180                  0               1.60
// 8PM                                                                                                                                                                                                         
               5 5 5        158 162 165        255 255 255        174 192 200        137 149 160              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.55              0 0 0        114 118 123      94 102 96 245      0 122 122 122            0 0 0 0                180                180                  0               1.60
// 9PM                                                                                                                                                                                                         
            14 16 17        163 165 166        255 255 255         98 119 128           82 91 98              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                 75            1001.00              10.00               0.55              0 0 0           79 81 84       63 68 66 247      0 102 107 109         0 65 65 65                165                180                  0               1.60
// 10PM                                                                                                                                                                                                        
             8 10 11        180 180 180        255 255 255           42 67 79           46 54 58              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.55              0 0 0           44 45 46       33 35 36 250        0 86 96 100      0 130 130 130                150                180                  0               1.25
// 11PM                                                                                                                                                                                                        
               7 8 9        167 173 179        255 255 255           38 56 66           32 41 45              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.55              0 0 0           33 35 36       28 29 29 247        0 89 99 103      0 130 130 130                160                100                  0               1.00
//
///////////////////////////////////////////SUNNY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight 
               8 8 8        180 180 180        255 255 255           29 29 29           27 27 27              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              2 2 2           30 30 30       30 30 30 245       0 95 103 104      0 130 130 130                 75                 90                  0               0.75
// 1AM                                                                                                                                                                                                         
               7 8 8        176 178 180        255 255 255           27 28 28           25 26 27              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              2 2 2           30 30 30       30 30 30 245       0 94 102 104      0 130 130 130                 75                 90                  0               0.75
// 2AM                                                                                                                                                                                                         
               7 8 8        173 176 180        255 255 255           26 27 28           23 26 28              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              2 2 2           30 30 30       30 30 30 245       0 94 102 104      0 130 130 130                 75                 90                  0               0.75
// 3AM                                                                                                                                                                                                         
               6 8 8        169 174 180        255 255 255           25 27 28           21 26 28              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              2 2 2           30 30 30       30 30 30 245       0 94 101 104      0 130 130 130                 75                 90                  0               0.75
// 4AM                                                                                                                                                                                                         
               6 8 8        166 172 180        255 255 255           24 26 28           19 26 29              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              2 2 2           30 30 30       30 30 30 245       0 94 101 104      0 130 130 130                 75                 90                  0               0.75
// 5AM                                                                                                                                                                                                         
               6 8 9        163 171 180        255 255 255           23 26 28           17 26 30              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              2 2 2           30 30 30       30 30 30 245       0 94 101 104      0 130 130 130                 75                 90                  0               0.75
// 6AM                                                                                                                                                                                                         
            10 10 10        153 174 180        255 255 255        106 123 128          104 96 88           38 29 19         179 123 67              12.65               0.25               0.55                  0                100                100            1001.00              10.00               0.55              0 0 0          102 93 84       38 45 46 245         0 99 96 94      0 130 130 130                155                180                  0               1.50
// 7AM                                                                                                                                                                                                         
              14 9 2        181 168 155        255 255 255        155 193 211        148 171 181           65 48 35          154 88 30               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 7 7        159 165 167    105 115 107 245      0 146 136 126            0 0 0 0                135                180                  0               1.65
// 8AM                                                                                                                                                                                                         
              14 9 2        180 167 154        255 255 255        155 193 211        148 171 181           65 48 35          154 87 30               2.85               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 7 7        160 166 168    107 117 109 245      0 146 136 126            0 0 0 0                131                180                  0               1.65
// 9AM                                                                                                                                                                                                         
              14 9 2        180 167 154        255 255 255        155 193 211        148 171 181           65 48 35          154 87 30               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 7 7        161 167 169    110 120 112 245      0 147 137 127            0 0 0 0                127                180                  0               1.65
// 10AM                                                                                                                                                                                                        
              14 9 2        179 166 153        255 255 255        155 193 211        148 171 181           65 48 35          154 86 30               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 7 7        163 169 171    112 123 114 245      0 148 138 128            0 0 0 0                123                180                  0               1.65
// 11AM                                                                                                                                                                                                        
              14 9 2        179 166 153        255 255 255        155 193 211        148 171 181           65 48 35          154 86 30               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 7 7        164 170 172    115 126 117 245      0 149 139 129            0 0 0 0                119                180                  0               1.65
// Midday                                                                                                                                                                                                      
              14 9 2        179 166 153        255 255 255        155 193 211        148 171 181           65 48 35          154 86 30               2.35               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 7 7        166 172 174    118 129 120 245      0 150 140 130            0 0 0 0                115                180                  0               1.65
// 1PM                                                                                                                                                                                                         
              13 8 2        179 166 153        255 255 255        156 192 210        147 169 179           55 41 30          157 90 32               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 6 6        166 170 171    117 127 119 245      0 149 140 130            0 0 0 0                115                185                  0               1.65
// 2PM                                                                                                                                                                                                         
              13 8 2        179 166 153        255 255 255        158 192 209        147 168 177           46 34 25          160 95 35               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 6 5        166 169 168    116 125 118 245      0 148 140 130            0 0 0 0                116                191                  0               1.65
// 3PM                                                                                                                                                                                                         
              13 8 2        179 166 153        255 255 255        160 192 209        147 167 175           37 27 20         164 100 38               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 6 4        166 167 165    116 123 117 245      0 148 140 130            0 0 0 0                117                197                  0               1.65
// 4PM                                                                                                                                                                                                         
              13 8 2        179 166 153        255 255 255        162 192 208        146 166 174           27 20 15         167 105 41               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 5 4        166 166 162    115 122 116 245      0 147 140 130            0 0 0 0                117                202                  0               1.65
// 5PM                                                                                                                                                                                                         
              13 8 2        179 166 153        255 255 255        164 192 208        146 165 172           18 13 10         171 110 44               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 5 3        166 164 159    115 120 115 245      0 147 140 130            0 0 0 0                118                208                  0               1.65
// 6PM                                                                                                                                                                                                         
              13 8 2        179 166 153        255 255 255        166 192 207        146 164 170              9 6 5         174 115 47               2.85               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 5 2        166 163 156    114 118 114 245      0 146 140 130            0 0 0 0                119                214                  0               1.65
// 7PM                                                                                                                                                                                                         
              13 8 2        180 167 154        255 255 255        168 192 207        146 163 169              0 0 0              0 0 0               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              7 5 2        167 162 154    114 117 114 245      0 146 140 130            0 0 0 0                120                220                  0               1.65
// 8PM                                                                                                                                                                                                         
               9 5 0        180 156 134        255 255 255        244 212 175        173 163 150              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.55              8 3 0        154 145 139       91 79 63 245       0 126 106 84            0 0 0 0                125                160                  0               1.65
// 9PM                                                                                                                                                                                                         
            19 15 10        180 159 141        255 255 255        165 137 106         116 102 91              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                 75            1001.00              10.00               0.55              9 5 1         113 100 91       69 59 47 245       0 120 110 99         0 65 65 65                112                190                  0               1.65
// 10PM                                                                                                                                                                                                        
              10 7 5        180 162 148        255 255 255          129 98 64           81 60 48              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.55             11 7 3           72 56 43       47 39 32 245      0 115 115 115      0 130 130 130                100                220                  0               1.25
// 11PM                                                                                                                                                                                                        
               9 7 6        180 171 164        255 255 255           79 63 46           54 43 37              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.55              6 4 2           51 43 36       38 34 31 245      0 105 109 109      0 130 130 130                 87                155                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight 
               6 6 6        180 172 164        255 255 255           32 29 26           30 27 24              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           34 34 34       30 30 30 245      0 104 104 104      0 130 130 130                 25                 90                  0               0.75
// 1AM                                                                                                                                                                                                         
               6 6 6        180 172 164        255 255 255           32 29 26           30 27 24              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           34 34 34       30 30 30 245      0 104 104 104      0 130 130 130                 25                 90                  0               0.75
// 2AM                                                                                                                                                                                                         
               6 6 6        180 172 164        255 255 255           32 29 26           30 27 24              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           34 34 34       30 30 30 245      0 104 104 104      0 130 130 130                 25                 90                  0               0.75
// 3AM                                                                                                                                                                                                         
               6 6 6        180 172 164        255 255 255           32 29 26           30 27 24              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           34 34 34       30 30 30 245      0 104 104 104      0 130 130 130                 25                 90                  0               0.75
// 4AM                                                                                                                                                                                                         
               6 6 6        180 172 164        255 255 255           32 29 26           30 27 24              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           34 34 34       30 30 30 245      0 104 104 104      0 130 130 130                 25                 90                  0               0.75
// 5AM                                                                                                                                                                                                         
               6 6 6        180 172 164        255 255 255           32 29 26           30 27 24              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                150            1001.00              10.00               0.65              0 0 0           34 34 34       30 30 30 245      0 104 104 104      0 130 130 130                 25                 90                  0               0.75
// 6AM                                                                                                                                                                                                         
             13 10 7        180 180 180        255 255 255        136 124 115        116 116 116           26 19 11         198 120 49              12.65               0.25               0.55                  0                100                100            1001.00              10.00               0.55              0 0 0        115 115 115       42 42 42 245        0 102 84 61      0 130 130 130                100                160                  0               1.50
// 7AM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        151 208 255        150 180 217           65 59 52          154 99 15               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        166 182 199    105 116 112 245      0 145 127 101            0 0 0 0                100                180                  0               1.65
// 8AM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        150 207 255        148 179 218           66 59 51         163 104 17               2.85               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        165 181 200    106 118 114 245      0 147 128 101            0 0 0 0                100                180                  0               1.65
// 9AM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        149 206 255        147 179 219           68 60 50         172 109 20               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        164 181 201    107 120 117 245      0 149 129 102            0 0 0 0                100                180                  0               1.65
// 10AM                                                                                                                                                                                                        
            13 12 11        179 179 179        255 255 255        148 205 255        146 178 221           69 60 49         182 114 22               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        163 180 202    108 123 119 245      0 151 131 103            0 0 0 0                100                180                  0               1.65
// 11AM                                                                                                                                                                                                        
            13 12 11        179 179 179        255 255 255        147 204 255        145 178 222           71 61 48         191 119 25               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        162 180 203    109 125 122 245      0 153 132 104            0 0 0 0                100                180                  0               1.65
// Midday                                                                                                                                                                                                      
            13 12 11        179 179 179        255 255 255        147 203 255        144 178 224           73 62 47         201 125 28               2.35               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        162 180 204    110 128 125 245      0 156 134 105            0 0 0 0                100                180                  0               1.65
// 1PM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        148 203 255        144 178 222           62 53 40         198 123 30               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        161 180 203    109 127 123 245      0 155 133 104            0 0 0 0                100                180                  0               1.65
// 2PM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        150 204 255        145 178 221           52 44 33         195 121 33               2.45               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        161 180 203    109 126 122 245      0 154 133 104            0 0 0 0                100                180                  0               1.65
// 3PM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        152 204 254        145 178 220           41 35 26         192 120 36               2.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        161 180 203    109 125 121 245      0 154 133 103            0 0 0 0                100                180                  0               1.65
// 4PM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        154 205 255        146 179 219           31 26 20         189 118 38               2.85               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        160 180 203    108 124 119 245      0 153 133 103            0 0 0 0                100                180                  0               1.65
// 5PM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        156 205 255        146 179 218           20 17 13         186 117 41               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        160 180 203    108 123 118 245      0 153 133 102            0 0 0 0                100                180                  0               1.65
// 6PM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        158 206 255        147 179 217             10 8 6         183 115 44               2.95               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        160 180 203    108 122 117 245      0 152 133 102            0 0 0 0                100                180                  0               1.65
// 7PM                                                                                                                                                                                                         
            13 12 11        179 179 179        255 255 255        160 207 255        148 180 216              0 0 0              0 0 0               3.25               0.25               0.55                  0                100                  0            1001.00              10.00               0.45              0 0 0        160 180 203    108 121 116 245      0 152 133 102            0 0 0 0                100                180                  0               1.65
// 8PM                                                                                                                                                                                                         
               9 5 0        179 156 134        255 255 255        224 201 174        184 184 184              0 0 0              0 0 0               0.75               0.25               0.55                  0                100                  0            1001.00              10.00               0.55              0 0 0        163 163 163       90 81 70 245       0 128 100 70            0 0 0 0                100                160                  0               1.65
